intent_category,tail_type,sessions,impressions,category_match_rate,avg_distance_km,open_rate,avg_capacity_score
restaurant,mid,148,1480,0.752,8.87,0.8196,0.6181
maintenance,tail,108,1080,0.737,8.85,0.8444,0.6153
parent_child,tail,106,1060,0.7538,8.43,0.8217,0.59
chauffeur,head,101,1010,0.7584,8.02,0.8129,0.5704
maintenance,mid,95,950,0.7505,8.63,0.8737,0.6229
car_wash,mid,94,940,0.7489,8.83,0.8266,0.5853
parent_child,head,84,840,0.7452,8.48,0.8262,0.5947
restaurant,head,69,690,0.7551,8.28,0.8072,0.6206
tire_repair,head,67,670,0.7537,8.84,0.8045,0.6245
parent_child,mid,61,610,0.7639,8.08,0.8049,0.601
tire_repair,mid,57,570,0.7719,8.42,0.8509,0.6171
restaurant,tail,53,530,0.7528,8.65,0.817,0.6069
car_wash,head,50,500,0.738,8.71,0.804,0.5724
car_wash,tail,40,400,0.7675,8.57,0.7925,0.5705
maintenance,head,39,390,0.7821,8.42,0.8462,0.6216
chauffeur,mid,17,170,0.7471,8.22,0.8412,0.5618
chauffeur,tail,11,110,0.7727,8.19,0.8091,0.5676
